Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI534124,SC,2013,1,71,224,694,19,13.1,7.49,18.9,4178,3.75,51.26,45.5,1623,15.22,10.7,9.61,9.74,0.372,4.95,11.83,66.3,21.28
PI534127,SC,2013,1,71,179,531,13.6,8.8,8.09,16.6,4229,3.55,54.49,45.4,1848,15.94,10.56,10.53,11.79,0.41,5.67,14.69,63.8,22.06
PI534128,SC,2013,1,NA,106,1216,23.1,30.8,5.81,13.4,4114,2.92,40.99,49.9,1609,16.41,11.2,6,10.64,0.38,5.15,13.24,67.9,22.43
PI534132,SC,2013,1,66,NA,1174,21.2,28.5,5.05,14.7,4120,2.53,51.28,49.7,1669,16.24,10.88,7.53,11.49,0.392,5.26,14.4,66.4,21.82
PI534133,SC,2013,1,73,139,688,22.4,16.3,5.6,16.1,4104,2.69,44.92,52,1648,15.22,10.93,7.3,10.27,0.37,4.81,12.5,67.5,21.62
PI534135,SC,2013,1,82,99,1160,19.8,25.3,5.41,13.1,4089,2.19,37.23,49.4,1557,14.4,10.84,9.01,9.91,0.345,4.69,12.26,69,19.62
PI534137,SC,2013,1,NA,137,1467,26.8,40.5,5.04,12.5,4092,2.76,35.58,47.9,1486,14.49,10.95,7.81,9.54,0.345,4.94,12,71.2,19.57
PI534138,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534139,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534144,SC,2013,1,66,219,715,11.7,8.8,8.45,15.6,4179,3.12,51.78,45.6,1682,14.8,10.76,11.7,9.97,0.386,5.24,12.3,64,20.16
PI534145,SC,2013,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534148,SC,2013,1,69,118,612,26.8,17.2,6.31,13,4142,2.66,51.53,52.7,1700,15.47,10.84,7.84,11.24,0.37,5.02,13.71,67,23.58
PI534155,SC,2013,1,71,105,1177,16.7,22,8.01,18.9,4134,1.9,46.31,49.6,1635,14.76,11.14,10.32,10.66,0.353,5.06,12.5,66.8,20.38
PI534157,SC,2013,1,75,105,2023,30.1,62.1,4.92,14.2,4117,3.09,39.18,46.7,1437,13.42,10.56,9.37,8.61,0.332,4.38,10.7,70.5,17.1
PI534163,SC,2013,1,75,108,1547,18.4,30.2,6.66,17.4,4087,2.75,45.18,51.3,1491,14.96,11.03,6.99,9.67,0.358,4.91,11.44,66.2,21.52
PI534167,SC,2013,1,69,130,734,24.8,19.5,5.25,15.3,4113,2.75,42.29,50.2,1422,14.72,10.86,9.06,9.84,0.324,4.59,11.84,69.5,20.44
PI540816,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI542406,SC,2013,1,89,204,863,10.5,10.5,7.88,18.1,4130,2.26,51.73,47.6,1549,14.92,11.16,10.37,10.29,0.353,5.09,12.11,65.7,20.47
PI542718,SC,2013,1,64,191,1356,28.9,42.6,5.7,16,4159,3.79,44.08,46.4,1479,14.03,10.73,9.19,8.8,0.343,4.58,10.71,67.9,19.04
PI548797,SC,2013,1,69,125,2549,15.5,41,4.77,14.1,4097,2.58,30.54,48.6,1554,13.56,10.89,8.04,9.05,0.34,4.38,11.16,71.8,17.43
PI552856,SC,2013,1,68,146,1170,24.6,32.3,5.62,10.6,4173,2.83,61.71,49.6,1695,15.3,10.09,10.56,11.33,0.386,5.01,14.18,66.6,20.5
PI552861,SC,2013,1,68,153,1144,26.5,29.7,4.37,10.9,4017,2.04,31.74,50,1326,13.1,11.12,7.26,8.14,0.312,4.13,10.24,74.5,17.02
PI561071,SC,2013,1,69,129,2176,17.3,39.4,4.44,16.5,4017,2.19,35.48,52.4,1283,12.36,10.91,8.28,7.76,0.298,3.62,9.46,72.9,16.37
PI561072,SC,2013,1,71,116,1951,16.6,31,5.37,5,4122,3.07,50.74,52.6,1504,14.49,10.19,10.5,9.17,0.343,4.31,11.84,67.2,19.5
PI561073,SC,2013,1,71,140,911,19.7,19.6,5.55,12.5,4106,2.78,46.24,46.4,1473,15.09,10.65,7.59,9.42,0.358,5.04,11.79,66.9,19.1
PI561472,SC,2013,1,71,209,2195,21,47.9,3.89,16.7,3994,1.9,44.96,50.9,1090,11.15,10.07,12.36,6.75,0.263,3.01,8.07,70.7,12.88
PI562730,SC,2013,1,PS,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI564163,SC,2013,1,69,142,1548,19.8,28.6,4.6,16.9,4105,2.89,50.21,51.3,1465,12.49,9.81,13,8.49,0.324,3.45,10.57,69.7,15.33
PI564164,SC,2013,1,NA,125,863,26.8,25.3,5.27,14.1,4125,2.62,39.94,47,1514,15.26,10.92,8.13,10.71,0.364,5.31,13.46,68,20.12
PI564165,SC,2013,1,73,120,1171,25.7,30.5,4.66,16.2,4088,2.43,43.11,49.2,1496,14.71,11.13,7.29,10,0.355,4.82,12.38,69.8,19.98
PI565121,SC,2013,1,NA,173,967,25.6,25.5,5.04,13.3,4060,2.56,39.46,48.4,1312,13.07,10.56,9.84,7.85,0.308,3.98,9.64,71.3,16.08
PI566819,SC,2013,1,82,416,2654,14.9,42,6.46,17.4,4131,2.94,48.55,43,1520,14.28,11.11,10.5,9.16,0.351,5.38,11.08,67.6,18.7
