Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI533961,SC,2017,2,63,88,1831,25.37,46.45,6.13,13.61,4047.44,1.75,37.54,42.27,1334.15,11.83,12.07,11.07,7.58,0.32,5,9.22,69.73,14.63
PI533962,SC,2017,1,71,121,1686,21.48,36.22,5.73,13.91,3966.79,1.37,30.38,41.58,1326.86,11.28,12.55,9.23,6.61,0.32,4.9,8.3,70.96,13.45
PI533962,SC,2017,2,73,125,2670,22.46,59.98,7.05,13.18,4035.08,1.41,40.33,43,1396.25,13,12.44,11.04,9.07,0.35,5.44,11.27,68.1,16.34
PI533964,SC,2017,1,83,83,1404,24.76,34.76,4.23,23.35,4200.42,3.16,40.93,42.1,1864.4,13.82,11.27,11.26,10.04,0.41,5.62,12.53,65.68,18.01
PI533964,SC,2017,2,83,86,1297,21.28,27.6,3.54,11.41,4084.45,1.97,34.88,41.34,1606.85,13.14,11.87,6.78,8.99,0.37,5.93,11.45,70.45,17.15
PI533965,SC,2017,1,73,111,2342,16,37.48,6.32,13.58,4029.96,1.48,48.74,44.82,1336.34,13.27,12.18,11.83,8.59,0.34,5.06,10.58,67.45,17.62
PI533965,SC,2017,2,73,106,1911,16.39,31.33,6.29,10.96,4036.36,2.17,45.04,47.42,1370.02,14.28,12.74,10.19,8.55,0.34,5.07,10.46,66.91,19.68
PI533967,SC,2017,1,76,92,2036,23.05,46.93,4.46,13.22,4119.57,1.93,41.72,40.83,1774.92,13.95,11.78,7.91,9.75,0.4,6.35,12.21,67.9,18.74
PI533967,SC,2017,2,77,104,1582,22.01,34.82,4.9,17.71,4052.14,1.73,36.67,45.41,1510.71,13.62,11.79,8.29,9.21,0.36,5.15,11.28,70.14,17.19
PI533970,SC,2017,1,83,81,1615,25.64,41.41,6.31,14.01,4097.89,2.04,46.05,45.96,1533.97,14.85,12.3,9.81,10.31,0.36,5.95,12.56,67.42,20.27
PI533970,SC,2017,2,77,93,1228,25.22,30.97,6.11,14.5,4044.23,2.2,34.1,45.82,1396.37,12.89,12.52,9.68,8.17,0.33,4.91,9.92,69.63,16.64
PI533972,SC,2017,1,77,98,1199,25.14,30.14,6.57,12.16,4042.41,1.73,30.72,40.72,1430.21,11.7,12.33,10.25,7.6,0.34,5.23,9.68,69.38,14.02
PI533972,SC,2017,2,78,112,1434,28.47,40.82,6.2,11.33,4059.26,1.92,37.25,43.58,1443.9,13.18,12.42,10,8.27,0.34,5.44,10.33,69.18,17.42
PI533976,SC,2017,2,69,85,739,23.91,17.67,5.74,10.7,4198.48,2.81,48,40.89,1806.75,14.75,12.26,11.8,10.42,0.4,6.57,12.84,64.69,20.39
PI533979,SC,2017,1,62,91,2260,23.73,53.64,4.99,21.43,4117.63,2.34,39.79,50.77,1530.86,12.84,11.05,10.4,9.67,0.34,3.78,11.79,71.03,15.99
PI533979,SC,2017,2,62,98,1593,24.11,38.41,5.02,14.95,4093.14,2.76,39.05,49.91,1566.81,15.19,11.89,7.61,9.46,0.36,4.88,11.51,68.87,21.71
PI533980,SC,2017,1,69,72,1020,20.62,21.03,4.77,13.79,4146.15,2.72,37.6,47.04,1654.8,15.21,11.98,8.67,10.18,0.36,5.66,12.28,68.25,20.83
PI533980,SC,2017,2,69,71,1235,18.45,22.79,4,13.03,4088.99,3.02,32.87,47.48,1516.93,14.45,12.1,7.1,8.47,0.34,4.99,10.29,70.43,19.13
PI533985,SC,2017,1,76,98,1779,30.96,55.07,5.1,15.28,4070.86,1.88,30.18,40.04,1571.86,11.15,12.36,9.58,7.72,0.35,5.17,9.83,70.88,13.28
PI533985,SC,2017,2,77,87,1094,28.74,31.44,4.98,10.64,4065.42,1.86,32.94,39.84,1511.8,11.46,12.35,9.77,8.17,0.34,5.48,10.2,70.13,14.01
PI533986,SC,2017,1,77,82,2353,29.55,69.52,5.28,10.27,4099.32,2.25,41.64,43.21,1597.27,13.15,12.26,8.88,8.89,0.36,5.78,11,69.06,17.27
PI533986,SC,2017,2,69,87,2647,32.24,85.34,6.28,15.23,4098.48,2.44,38.38,42.53,1602.44,11.73,12.03,11.49,7.69,0.35,4.83,9.62,69.05,14.33
PI533987,SC,2017,1,59,100,922,40.18,37.05,5.11,7.33,4006.63,1.32,36.96,42.52,1417.83,12.12,12.37,8.02,8.15,0.34,5.63,10.5,71.29,15.14
PI533989,SC,2017,1,83,111,1350,29,39.15,5.08,17.04,4085.39,1.99,38.68,45.23,1549.26,13.83,11.4,9.33,10,0.36,5.25,12.36,68.74,17.43
PI533989,SC,2017,2,94,94,2305,27.18,62.66,4.81,14.24,4035.98,2.28,39.05,49.28,1382.57,13.68,11.82,7.63,8.52,0.34,4.44,10.38,69.7,18.49
PI533991,SC,2017,1,69,123,919,25.71,23.63,4.84,11.41,4015.6,1.36,33.43,42.39,1338.57,12.16,11.79,7.75,7.57,0.32,5.18,9.51,71.59,14.99
PI533991,SC,2017,2,65,127,697,29.3,20.42,5.44,13.78,4034.78,0.99,35.66,39.68,1450.41,11.26,11.73,10.09,8.86,0.35,5.41,10.95,69.61,12.92
PI533996,SC,2017,1,66,66,775,29.14,22.58,5.87,9.71,4126.7,1.99,48.58,46.35,1621.88,15.86,12.34,8.82,11.28,0.39,6.31,14.04,67.57,22.14
PI533996,SC,2017,2,62,112,676,33.24,22.47,5.75,13.24,4103.24,2.47,34.75,42.15,1607.28,12.98,12.51,10.26,8.63,0.37,5.47,10.79,68.77,16.68
PI533997,SC,2017,1,62,113,1199,27.44,32.9,5.21,16.13,4058.99,2.7,37.77,53.23,1455.93,13.81,11.75,8.46,8.59,0.34,4.18,10.6,69.98,19.72
PI533997,SC,2017,2,62,134,987,28.29,27.92,4.72,15.79,4053.49,2.16,34.73,50.86,1377.93,13.97,11.94,7.32,8.82,0.33,4.48,10.74,71.71,19.61
PI534009,SC,2017,1,92,158,1422,17.6,25.03,5.65,11.1,4050.48,2.4,33.17,47.52,1485.23,13.76,12.44,9.29,9.14,0.35,4.96,11.04,68.72,17.77
PI534009,SC,2017,2,87,133,950,21.6,20.52,5.5,15.1,4100.81,2.4,40.34,48.8,1548.11,13.89,12.09,10.44,9.94,0.35,4.99,11.89,68.22,18.59
PI534021,SC,2017,1,90,81,1722,24.74,42.61,4.95,14.86,4029.66,1.61,37.72,47.61,1386.44,14.15,12.02,7.43,9.38,0.34,5.21,11.57,70.97,18.9
PI534021,SC,2017,2,92,87,1406,21.02,29.55,4.15,14.8,4031.28,1.91,35.24,48.47,1396.09,13.64,12.15,6.81,8.6,0.34,4.72,10.64,71.57,18.63
PI534028,SC,2017,1,100,64,194,10.52,2.04,5.21,11.67,4071.41,2.2,37.79,49.7,1508.55,15.12,12.44,8.86,10.04,0.36,5.22,12.31,68.15,21.1
PI534028,SC,2017,2,83,86,1300,20.19,26.25,4.16,13.18,4148.67,2.99,36.69,46.54,1688.46,14.54,11.91,8.42,9.82,0.39,5.41,12.29,69.09,19.43
PI534037,SC,2017,1,71,115,597,24.12,14.4,5.98,15.56,4127.63,2.33,56.99,44.12,1677.44,15.83,12.02,9.58,10.8,0.39,6.33,13.4,67.07,22.14
PI534037,SC,2017,2,66,121,454,23.94,10.87,4.9,13.51,4062.5,2.04,48.83,45.44,1420.96,14.56,12.16,8.57,8.84,0.34,5.48,10.78,69.55,20.05
PI534046,SC,2017,1,62,75,447,21.1,9.43,5.95,12.05,4096.25,2.58,47.65,46.32,1492.8,14.81,12.19,9.58,9.7,0.36,5.45,11.68,67.26,20.39
PI534046,SC,2017,2,63,82,1024,19.35,19.81,6.07,17.57,4089.79,1.97,50.52,45.53,1488.66,14.28,12.02,10.63,9.93,0.36,5.4,11.97,67.71,18.86
PI534047,SC,2017,1,62,103,378,19.42,7.34,5.64,12.54,4118.14,2.27,42.79,44.47,1533.35,15.17,12.21,9.1,9.96,0.37,5.97,12.31,67.67,20.49
PI534047,SC,2017,2,55,119,944,40.02,37.78,5.79,14.48,4118.3,2.52,37.75,43.18,1547.68,13.75,12.21,10.4,8.85,0.36,5.44,10.86,68.01,17.97
PI534053,SC,2017,1,83,78,1694,19.62,33.23,5.78,11.72,4069.31,2.58,39.81,50.91,1521.26,14.33,12.28,8.36,9.22,0.36,4.71,11.35,69.08,20.59
PI534053,SC,2017,2,87,76,1563,23.57,36.84,5.2,10.6,3936.66,1.64,19.66,44.23,1217.55,10.36,12.72,7.27,5.62,0.3,4.16,7.18,74.26,11.81
PI534054,SC,2017,1,69,63,398,25.23,10.04,6.23,11.16,4155.6,2.15,49.02,45.12,1755.04,16,11.88,9.9,11.55,0.4,6.52,14.13,65.96,22.61
PI534054,SC,2017,2,65,72,720,24.35,17.53,5.72,9.32,4134.04,2.54,53.29,49.72,1689.53,17.53,11.5,8.52,11.92,0.39,6.07,14.71,65.81,25.55
PI534063,SC,2017,2,65,148,63,22.06,1.39,5.18,15.07,4073.16,1.8,34.84,45.22,1620.24,14.12,12.13,7.94,10.27,0.39,5.79,13.03,70.21,18.3
PI534070,SC,2017,1,59,132,257,32.3,8.3,4.54,14.02,4162.91,3.03,49.99,48.51,1660.12,15.85,11.87,9.11,9.74,0.37,5.45,11.52,66.64,23.12
PI534075,SC,2017,1,65,119,1367,45.78,62.58,4.41,13.68,4091.87,2.65,42.21,49.06,1492.47,15.41,12.01,7.52,8.98,0.34,5.19,10.68,68.28,21.75
PI534075,SC,2017,2,65,109,1631,46.18,75.32,3.92,13.93,4042.33,2.55,37.9,50.19,1311.59,13.39,11.84,6.45,7.43,0.31,4.29,9.09,71.23,19.12
PI534079,SC,2017,1,59,111,1513,22.7,34.35,5.47,12.78,4037.08,2.14,38.84,48.97,1361.52,13.51,12.4,8.79,8.6,0.33,4.76,10.53,69.86,17.86
PI534079,SC,2017,1,59,111,1513,22.7,34.35,4.02,10.27,4065.54,1.98,42.41,45.07,1492.07,15.27,11.46,6.92,9.46,0.36,5.82,11.86,69.69,20.77
PI534079,SC,2017,2,62,94,1315,29.48,38.77,5.4,10.76,4003.91,1.86,29.27,46.58,1230.13,12.41,12.23,7.94,7.51,0.31,4.52,9.39,72.52,15.36
PI534088,SC,2017,2,52,116,333,38.11,12.69,5.26,13.39,4090.54,2.53,41.02,48.8,1540.39,14.76,12.21,9.3,9.68,0.35,5.21,11.72,68.18,20.55
PI534092,SC,2017,1,63,76,367,24.96,9.16,5.88,16.07,4080.41,1.95,48.84,51.3,1613.73,16.81,11.75,8.09,11.21,0.39,5.55,13.74,65.78,24.22
PI534092,SC,2017,2,62,90,810,24.15,19.56,5.07,16,4057.04,2.02,43.14,50.58,1487.84,15.21,11.75,7.65,10.01,0.36,5.07,12,66.96,22.18
PI534096,SC,2017,1,52,108,440,16.82,7.4,5.55,13.7,4133.95,2.21,50.76,45.48,1636.74,16.1,11.89,8.84,11.04,0.39,6.08,13.63,66.76,22
PI534096,SC,2017,2,59,123,368,19.1,7.03,5.86,18.56,4074.6,2.17,61.49,50.8,1519.79,15.53,12.15,13.3,9.85,0.38,5.23,11.47,60.78,23.67
PI534097,SC,2017,1,65,94,1063,15.74,16.73,5.26,17.82,4201.02,2.8,55.61,48.53,1776.97,16.48,10.99,10.4,12.05,0.41,5.73,14.78,65.16,24.38
PI534097,SC,2017,2,62,96,866,17.22,14.91,4.3,18.46,4193.01,2.96,45.43,46.59,1765.52,15.19,11.21,9.97,10.96,0.4,5.14,13.49,67.87,20.84
PI534099,SC,2017,1,69,87,2049,10.37,21.25,5.59,14.44,4064.53,2.19,39.44,47.63,1489.46,14.15,12.85,9.55,8.99,0.35,5.3,11.03,68.64,19.21
PI534099,SC,2017,2,NA,85,1193,21.88,26.1,5.22,10.63,3982.6,2.19,22.95,47.74,1177.62,11.13,12.74,8.71,6.2,0.28,3.87,7.68,72.82,13.62
PI534101,SC,2017,2,66,104,1444,26.68,38.53,6.2,12.96,4070.63,1.91,36.52,42.91,1503.52,12.93,12.63,10.13,8.43,0.35,5.43,10.46,68.61,16.73
PI534105,SC,2017,1,69,81,981,33.31,32.68,5.95,9.05,4036.54,1.63,34.84,44.97,1396.6,12.66,12.47,9.18,8.42,0.33,5.35,10.57,70.65,16.5
PI534105,SC,2017,2,69,85,743,27.6,20.51,5.96,12.37,4013.05,1.83,28.13,45.64,1348.4,12.51,12.57,8.39,7.51,0.32,4.86,9.48,71.58,16.1
PI534108,SC,2017,1,62,109,2199,20.52,45.12,5.83,15.14,4096.88,2.43,45.52,48.26,1490.48,14.51,12.19,10.61,9.68,0.35,4.92,11.43,67.1,20.66
PI534108,SC,2017,2,77,117,1163,21.12,24.56,5.04,11.03,3981.5,2.46,25.7,45.73,1242.73,10.54,12.75,10.06,5.37,0.28,3.88,6.5,72.55,12.98
PI534112,SC,2017,1,77,91,1875,22.66,42.48,6.31,13.19,4066.18,2.1,39.5,47.74,1400.85,14.03,12.54,11.14,9.1,0.34,5.02,11.05,67.3,19.07
PI534112,SC,2017,2,77,87,1406,25.28,35.55,6.13,10.51,4061.44,2,37.47,45.95,1432.22,13.61,12.59,9.93,8.59,0.33,5.33,10.51,69.01,18.5
PI534114,SC,2017,1,77,112,1146,21.49,24.63,5.6,9.85,4061.05,1.63,39.54,41.13,1510.48,12.48,12.78,10.69,8.33,0.35,5.73,10.51,69.12,16.07
PI534115,SC,2017,1,83,71,335,31.28,10.48,4.88,9.69,4127.27,1.83,46.44,45.1,1617.87,15.83,11.87,7.23,11.43,0.38,6.57,13.92,67.22,22.18
PI534115,SC,2017,2,85,83,617,31.23,19.27,4.51,14.59,4065.71,2.09,34.11,46.06,1461.44,13.75,11.84,7.76,9.08,0.35,5.17,11.17,70.56,17.81
PI534116,SC,2017,1,92,89,466,13.11,6.11,7.47,13.68,4264.82,3.07,56.01,40.6,1904.8,15.74,12.31,14.26,11.7,0.42,6.9,14.42,62.25,21.93
PI534117,SC,2017,1,69,73,1473,20.62,30.37,6.57,10.56,4172.8,2.65,50.23,41.34,1682.27,14.15,12.66,13,9.7,0.38,6.29,11.98,65.41,19.4
PI534117,SC,2017,2,62,87,1749,18.91,33.07,7.76,12.61,4183.34,3.01,50.01,42.82,1617.7,14.07,12.56,14.18,9.67,0.36,5.6,11.82,64.99,18.78
PI534123,SC,2017,1,76,107,467,14.88,6.95,7.48,13.79,4090.52,2.99,60.06,50.55,1624.74,15.24,12.62,14.81,9.77,0.36,5.19,11.59,62.68,23.09
PI534123,SC,2017,2,73,103,422,15.24,6.43,7.46,13.92,4163.21,3.24,58.99,46.53,1684.02,15.47,12.54,13.96,10.65,0.38,5.84,12.79,63.68,22.5
PI534124,SC,2017,1,77,151,1244,15.72,19.56,7.87,14.6,4189.41,2.75,49.06,40.18,1640.9,14.49,12.17,14.54,10.29,0.38,6.1,12.5,63.99,19.43
PI534124,SC,2017,2,90,161,831,14.51,12.06,7.59,13,4184.95,2.73,53.85,42.87,1639.13,14,12.66,16.13,10.57,0.37,6,12.54,63.18,19.38
PI534127,SC,2017,2,69,100,521,22.76,11.86,7.32,8.7,4137.51,1.74,51.31,41.08,1634.14,14.77,12.37,12.82,10.98,0.38,6.71,13.55,64.25,20.02
PI534128,SC,2017,1,77,89,369,21.08,7.78,5.79,11.11,4125.8,2.23,50.49,50.41,1650.38,17.26,11.79,8.54,12.03,0.39,5.85,14.86,65.52,24.89
PI534128,SC,2017,2,83,106,923,24.82,22.91,5.31,8.25,4050.31,1.83,41.87,51.29,1414.28,16.42,12.39,6.37,10.39,0.35,5.53,12.79,68.22,23.71
PI534132,SC,2017,1,69,83,459,11.39,5.23,4.97,13.03,4104.65,2.05,42.34,46.46,1635.18,16.3,12.35,8.41,11.05,0.39,6.27,13.9,66.94,22.69
PI534132,SC,2017,2,71,86,1253,11.72,14.69,5.59,11.45,4120.53,2.43,46.63,49.22,1755.3,17.71,12.43,7.69,11.78,0.42,6.21,14.83,64.81,25.75
PI534133,SC,2017,1,79,97,347,17.61,6.11,5.58,14.37,4150.27,3.58,48.85,51.89,1795.17,16.65,11.66,7.76,10.58,0.39,5.61,12.87,64.71,26.1
PI534135,SC,2017,1,87,90,552,22.75,12.56,5.15,12.65,4079.42,2.38,45.25,49.23,1560.27,15.78,11.98,7.77,10.67,0.37,5.41,12.92,67.25,22.84
PI534137,SC,2017,1,63,124,897,29.21,26.2,4.67,11.34,4099.87,2.66,46.51,47.82,1603.67,15.73,11.94,6.47,9.65,0.36,5.81,11.64,69.23,22.87
PI534137,SC,2017,2,83,140,1574,15.93,25.08,4.01,10.18,4011.19,2.56,29.74,52.26,1404.37,14.55,12.31,4.92,8.12,0.33,4.51,10.17,72.01,21.11
PI534138,SC,2017,2,65,115,662,25.97,17.19,5.66,8.08,4093.86,2.46,41.57,43.78,1509.53,13.32,12.19,9.36,8.76,0.34,5.73,10.73,68.68,17.81
PI534139,SC,2017,1,66,110,301,18.21,5.48,7.29,12.3,4029.03,1.97,38.24,46.07,1357.58,12.17,12.61,12.85,7.84,0.32,4.62,9.51,68.32,15.64
PI534139,SC,2017,2,62,179,1113,20.15,22.43,6.88,11.42,4068.57,2.44,39.05,43.84,1405.64,12.78,12.7,11.41,8.29,0.33,5.19,9.99,68.56,16.72
PI534144,SC,2017,1,78,158,930,20.84,19.38,7.96,13.37,4163.74,3.02,54.27,43.25,1763.68,15.18,13.1,14.31,10.1,0.42,5.95,12.68,62.59,20.69
PI534144,SC,2017,2,69,157,1006,20.18,20.3,7.39,13.59,4130.35,2.79,54.92,44.87,1675.67,15.05,13.37,12.79,9.84,0.41,5.95,12.13,63.05,21.79
PI534145,SC,2017,1,55,134,424,31.23,13.24,5.75,18.59,4007.97,2.16,45.11,54.88,1737.6,16.36,12.45,9.16,10.08,0.41,5.31,12.4,64.65,25.37
PI534145,SC,2017,2,55,119,266,26.54,7.06,6.44,15.94,3994.72,1.33,54.26,56.06,1596.46,17.36,11.91,9.91,11.14,0.4,5.71,13.66,61.78,26.86
PI534148,SC,2017,2,73,103,1466,27.42,40.2,5.23,9.85,4056.52,2.62,41.18,51.74,1394.06,15,12.16,9.36,8.92,0.32,4.69,10.58,68.65,21.75
PI534155,SC,2017,1,73,82,662,17.85,11.82,7.59,12.83,4138.25,2.18,48.08,46.6,1659.23,14.62,12.34,13.95,11.2,0.38,5.63,13.77,64.25,20.04
PI534155,SC,2017,2,78,98,1844,17.9,33,6.72,11.49,4111.53,2.71,41.95,45.51,1520.09,12.79,12.69,14.07,8.45,0.34,5.08,10.07,66.4,17.46
PI534157,SC,2017,1,77,107,1756,23.29,40.89,3.58,14.61,4101.62,1.92,41.88,41.33,1643.23,13.98,11.52,7.78,9.59,0.38,6.05,12.11,69.05,18.08
PI534157,SC,2017,2,77,104,1350,17.37,23.45,3.67,13.03,4056.6,1.63,33.23,40.95,1542.57,12.91,11.84,7.07,9.11,0.37,5.76,11.55,69.92,15.95
PI534163,SC,2017,1,85,73,1993,17.94,35.75,5.78,17.72,4124.54,2.98,50.89,46.41,1738.95,15.55,12.68,9.61,10.21,0.41,5.83,12.24,65.56,22.42
PI534163,SC,2017,2,85,107,1190,23.2,27.61,6.21,12.57,4076.8,2.6,42.42,44.57,1438.63,13.74,12.18,9.79,8.58,0.35,5.07,10.46,68.79,18.38
PI534167,SC,2017,1,65,84,423,24.73,10.46,5.78,9.3,4149.93,3.1,51.05,52.08,1633.56,17.1,11.59,9.21,11.31,0.37,5.38,13.6,65.81,25.1
PI534167,SC,2017,2,NA,NA,749,16.52,12.37,5.71,6.26,4119.67,2.88,35.92,48.11,1507.21,13.21,12.37,11.87,9.08,0.32,4.97,10.72,68.19,17.95
PI540816,SC,2017,1,77,78,1638,17.27,28.29,4.18,8.35,4000.85,1.75,24.16,44.61,1425.01,12.06,12.44,6.65,7.64,0.33,5.07,9.68,72.58,15.55
PI540816,SC,2017,2,83,76,1700,13.67,23.24,4.83,9.13,4113.7,1.99,38.39,44.71,1714.3,15.26,12.3,8.16,11.02,0.4,6.33,14.06,67.53,21.07
PI542406,SC,2017,1,104,183,267,10.64,2.84,6.39,16.52,4084,2.58,42.98,45.73,1470.7,12.72,12.94,13.16,8.36,0.34,4.81,9.95,66.3,16.93
PI542406,SC,2017,2,94,180,1063,10.4,11.06,8.81,13.6,4198.71,2.41,63.69,42.83,1850.13,16.61,12.53,15.98,12.48,0.43,7.03,15.19,59.76,23.94
PI542718,SC,2017,2,62,120,973,26.4,25.69,5.61,15.65,4166.79,2.56,43.45,42.82,1619.73,14.57,11.92,10.47,9.57,0.38,5.63,11.76,67.35,19.42
PI548797,SC,2017,1,65,93,921,23.65,21.78,4.8,12.89,4067.37,1.76,32.63,42.69,1455.73,12.1,11.85,8.39,9.01,0.35,5.33,11.22,70.5,14.63
PI548797,SC,2017,2,77,83,1445,23.12,33.41,4.09,18.39,4039.62,1.82,29.66,45.52,1427.57,12.39,11.62,8.11,8.55,0.34,4.62,10.49,72,14.75
PI552856,SC,2017,2,73,124,1481,22.05,32.66,5.39,18.31,4080.31,2.14,38.62,44.71,1701.16,14.46,12.47,8.04,9.96,0.4,5.78,12.36,68.44,19.11
PI552861,SC,2017,1,83,124,674,28.34,19.1,4.19,17.96,4053.01,2.38,34.45,51.52,1425.53,13.66,11.71,5.59,8.92,0.34,4.5,10.81,70.6,19.89
PI552861,SC,2017,2,83,97,1368,26.16,35.79,5.18,12.04,4082.55,2.71,44.32,51.4,1552.6,15.96,11.9,6.54,10.02,0.36,5.48,12.38,67.82,24.42
PI561071,SC,2017,1,69,93,1311,26.85,35.2,3.71,9.22,4019.68,1.9,31.46,45.42,1323.98,13.64,11.69,6.02,7.9,0.33,5.03,10.05,73.21,17.67
PI561071,SC,2017,2,71,95,1805,22.1,39.89,4.13,6.46,3999.35,1.57,31.23,42.53,1279.95,11.88,11.9,6.73,7.17,0.31,5.21,8.94,72.77,14.99
PI561072,SC,2017,1,85,114,3509,18.79,65.93,5.42,0.83,4095.14,2.78,36.53,47.97,1369.24,15.7,11.89,6.34,8.76,0.34,5.28,11.23,68.87,22.95
PI561073,SC,2017,1,83,129,2238,22.92,51.3,4.47,10.53,4071.78,2.48,41.2,47.67,1431.47,15.36,11.33,5.69,9.7,0.35,5.51,11.94,69.22,22.15
PI561073,SC,2017,2,78,127,2746,21.23,58.31,3.68,7.63,3999.96,1.87,35.25,49,1308.71,14.26,11.96,4.76,8.4,0.33,4.92,10.36,71.4,19.76
PI561472,SC,2017,1,77,194,2667,25.71,68.58,3.7,15.7,3995.21,1.25,31.26,40.09,1510.39,11.54,11.42,6.45,8.02,0.37,5.39,10.29,71.61,13.36
PI561472,SC,2017,2,85,176,1928,24.32,46.88,4.14,7.72,3986.92,1.25,32.96,43.11,1386.81,13.4,11.6,4.52,8.36,0.35,5.78,10.61,71.87,17.19
PI564163,SC,2017,1,76,112,1045,20.64,21.57,3.66,14.94,4005.51,2.46,18.41,43.44,1414.97,10.99,12.17,6.97,6.21,0.33,4.34,8.05,73.5,13.02
PI564163,SC,2017,2,69,116,865,19.32,16.71,3.37,13.27,4024.93,2.22,24.35,43.11,1521.84,11.64,12.05,6.11,7.17,0.35,4.99,9.46,72.72,14.45
PI564164,SC,2017,1,83,78,352,22.5,7.92,5.27,10.41,4064.96,2.2,39.78,51.36,1536.03,15.71,12.47,9.14,10.58,0.36,5.42,12.96,66.94,22.25
PI564164,SC,2017,2,83,73,443,20.79,9.21,4.92,9.89,4035.82,2.1,27.79,47.68,1466.26,13.23,12.75,8.08,8.75,0.34,4.94,11.07,70.5,17.32
PI564165,SC,2017,1,90,84,513,21.83,11.2,5.07,15.57,4041.63,2.13,41.51,49.5,1494.62,14.78,12.52,8.4,9.54,0.36,5.08,11.52,68.27,21.33
PI564165,SC,2017,2,83,77,781,19.13,14.94,5.3,7.19,4026.33,1.78,34.61,47,1389.43,14.13,12.73,8.54,9.19,0.33,5.43,11.44,69.85,18.99
PI565121,SC,2017,1,77,137,3467,20.41,70.75,3.03,8.76,3925.3,1.04,27.23,41.8,1308.2,11.47,11.62,4.84,6.51,0.33,5.08,8.79,74.96,13.67
PI565121,SC,2017,2,77,126,3111,29.44,91.58,4.12,11.42,3975.2,1.67,27.08,42.52,1368.24,11.33,11.7,5.98,6.51,0.32,4.8,8.38,73.58,13.37
PI566819,SC,2017,1,83,236,3909,18.37,71.79,6.51,13.96,4122.59,2.34,40.77,40.65,1511.43,12.63,12.34,12.7,8.38,0.35,5.37,10.23,67.43,15.96
PI566819,SC,2017,2,83,264,2158,18.94,40.87,5.64,12.32,4101.3,2.42,38.73,38.6,1569.7,11.72,12.37,11.27,7.46,0.35,5.5,9.26,68.28,14.14
PI574455,SC,2017,1,83,85,2067,21.64,44.73,3.64,7.97,3991.58,1.52,30.48,42.68,1303.77,12.1,11.7,6.18,7.28,0.32,5.16,9.27,73,15
PI574455,SC,2017,2,92,83,983,19.27,18.94,4.96,14.7,4015.07,1.69,39.1,47.64,1281.63,13.03,12.05,8.83,8.33,0.31,4.67,9.93,70.53,16.77
PI576130,SC,2017,1,83,241,2590,23.68,61.34,4.19,14.61,3982.7,1.74,26.03,42.33,1361.81,10.92,11.59,7.48,6.81,0.34,4.46,8.95,73.3,12.68
PI576332,SC,2017,1,59,90,1407,18.19,25.6,5.74,12.57,4078.67,1.83,40.85,40.11,1528.21,12.39,12.39,10.73,8.21,0.36,5.68,10.27,68.86,15.72
PI576332,SC,2017,2,55,103,739,16.96,12.53,6.99,13.51,4170.21,2.44,49.48,42.49,1671.64,14.44,12.12,12.23,10.55,0.38,6.16,12.96,65.62,19.36
PI576333,SC,2017,1,77,85,1077,15.01,16.17,3.53,12.85,4100.98,2.21,36.13,42.49,1642.62,13.9,11.69,6.56,9.62,0.38,5.98,12.26,70.17,18.1
PI576333,SC,2017,2,71,100,2007,13.78,27.66,3.47,12.2,4096.79,3.05,32.93,48.64,1562.22,14.8,12.04,5.71,8.89,0.36,5.14,10.98,69.97,20.32
PI576337,SC,2017,1,76,184,1135,12.9,14.64,5.67,10.91,4037.32,1.9,30.91,41.7,1495.6,12.44,12.64,8.64,8.26,0.36,5.45,10.64,70.41,14.96
PI576337,SC,2017,2,77,117,1240,19.1,23.68,6.29,12.94,4050.07,2.16,42.09,45.86,1427.67,13.39,12.71,10.84,8.83,0.34,5.15,10.63,68.66,17.67
PI576339,SC,2017,1,65,66,402,27.61,11.1,5.54,17.04,4141.49,2.6,49.52,50.8,1686.84,16.2,11.61,9.13,11.13,0.37,5.4,13.36,66.27,23.44
PI576339,SC,2017,2,63,77,711,26.48,18.83,4.66,15.08,4116.9,2.47,43.46,48.4,1672.3,15.86,12.16,8.4,10.81,0.39,5.78,13.34,67.63,22.1
PI576340,SC,2017,1,76,130,1509,24.19,36.5,4.93,10.59,3988.23,1.15,27.65,43.14,1332.27,11.55,11.89,7.37,7.49,0.33,4.88,9.72,73.28,13.44
PI576345,SC,2017,1,69,94,1102,24.25,26.72,5.6,6.91,4085.02,2.29,35.74,42.54,1510.73,12.32,12.66,10.3,8.5,0.34,5.5,10.59,70.01,15.72
PI576345,SC,2017,2,65,103,672,27.01,18.15,5.86,12.89,4119.53,2.73,39.25,48.24,1581.09,14.33,12.41,10.41,9.71,0.35,5.22,11.83,67.98,19.9
PI576347,SC,2017,1,NA,112,444,14.71,6.53,6.72,11.98,4115.25,2.47,49.25,46.43,1569.11,14.86,12.67,10.01,9.66,0.37,5.86,11.93,67.41,21.03
PI576347,SC,2017,2,66,115,315,12.41,3.91,6.73,13.39,4122.27,2.68,51.33,46.13,1615.5,14.99,12.54,10.76,9.62,0.38,5.71,11.91,66.65,21.56
PI576348,SC,2017,2,78,135,590,9.66,5.7,7.91,15.19,4197.64,2.44,58.35,42.34,1721.38,14.89,12.44,15.61,11.39,0.4,6.29,13.83,62.54,20.44
