"Taxa","Amylose2013","Protein2013","Starch2013","Fat2013","Gross_Energy2013","Amylose2014","Protein2014","Starch2014","Fat2014","Gross_Energy2014","Amylose2017","Protein2017","Starch2017","Fat2017","Gross_Energy2017"
"PI656012",0.0800350723414686,0.0560371267055301,0.451756509276392,0.0103076585386218,22.8274219908263,-0.035376684924523,0.0756163133368804,0.381583909995436,0.0124582467228186,22.0679145169338,0.037304889963383,0.0788017045480485,0.278297467811854,0.0140305517165743,17.4570311292206
"PI656013",-0.00792458259890668,-0.0128249777695816,0.113814514318459,0.0250888032269575,8.11156600339088,-0.0258829969499687,-0.0452589118366948,-0.118628741305657,0.00970906444077364,-5.90559902234277,-0.00580570054276427,-0.0217157147756395,-0.180761810951805,-0.000755096710907957,-8.42979195633343
"PI656014",-0.0587333071408501,-0.0488870947831838,-0.425439824520817,0.00407614666750379,-21.8120041942951,-0.0610938321843486,-0.0162051888630259,-0.230350983647889,0.0149323301866252,-8.42469122711291,-0.00677806492253181,-0.0590608799994507,-0.47420501507994,0.00109508578031693,-20.3238187161646
"PI656015",0.15361334139563,0.134056191499123,0.703649822635076,0.0200450159750205,41.3885802531419,0.0534096055868098,0.0519170829659826,0.207670158988363,0.00864869995865802,12.9627953443286,0.0661045909439666,0.0848009355761888,0.592510227596888,0.0270295604419365,33.3378642328342
"PI656016",-0.0550720902253277,-0.0421412736988577,-0.241088814932189,-0.004875519173657,-14.7879808141717,0.0121623636363234,-0.0344370380946443,0.0842888064169072,0.00174083018033382,2.33299938982905,-0.0520534689548811,-0.0282167934530813,-0.218266892731542,-0.00203881148932605,-12.733704747228
"PI656017",NA,NA,NA,NA,NA,-0.0265311974287835,0.0391960874777649,0.329705702215211,0.00424200214921858,16.0767455336349,-0.156208991477669,-0.137980488396021,-0.861759375770064,-0.0331051169220777,-51.6009821027819
"PI656018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0332670066451493,0.071915338480444,0.218787172720369,-0.00645167349366918,13.7093520226092
"PI656019",0.01725562353438,-0.0182875022492218,0.0649407752681639,-0.00179081606307348,0.450477181680587,-0.0256594027710645,-0.0501530856555047,-0.290247191733196,-0.0142278435632499,-17.4942688782633,-0.0485798158523102,-0.029989659474402,-0.232837918454363,-0.00955975130951524,-13.2218419193981
"PI656020",0.113957367844472,0.133454007672447,0.329476129939133,0.0213349025509257,24.8806071766373,-0.0740565695320297,-0.018435613922859,-0.117091629042282,-0.0038442176000062,-7.37089637258789,NA,NA,NA,NA,NA
"PI656021",-0.0370412851150483,-0.00788250292868085,-0.224370760975328,-0.00891642880005396,-11.9671749649969,0.0429747864950755,0.0244367877930888,0.110681920293428,0.00457278289456206,5.4251280703233,-0.0622138360108344,-0.0573289659462684,-0.338725668320175,-0.00461786181044098,-20.1882589276233
"PI656022",-0.156469315735349,0.0337374943534829,-0.0364644440223744,0.00533295922864218,-0.171682182038806,-0.174549907749061,0.00722724592935359,0.0842593751986356,0.00682323569977883,3.6481955601415,-0.104664118330157,0.0385638283374704,0.146767239616529,0.00569234267278979,7.3918087061905
"PI656023",0.0843962856167793,-0.016698506203582,0.220810913257577,0.0108342703515198,9.16646744020098,-0.0301230168631579,-0.0547426006599489,-0.0871095787649178,-0.00759657752011284,-9.40280903687317,0.0633625541400663,0.0281933606660342,0.349050927688476,0.0189188147745214,17.6963729668816
"PI656024",-0.0181925067304094,-0.0277253214249885,0.0101856273966914,-0.00571670161589259,-2.39421226953193,0.0786359906587988,0.083206139196724,0.440650358392877,0.0147887611097108,26.2641502029521,-0.0192107102360833,-0.0254912591859482,-0.120185135148159,-0.00881332647806406,-8.86785400973374
"PI656025",0.0556610417910842,-0.0109162593728524,0.0507366181151306,0.0109342273739262,4.61333820067541,0.0661970934429173,0.0533853351116256,0.213097877639867,0.0280329332092097,16.4913607266347,NA,NA,NA,NA,NA
"PI656026",0.040292582386292,0.00738003246279725,0.350492136496085,0.00758897452479086,15.0094805770103,-0.023688084533727,-0.0234500385740365,0.0536766605119976,-0.00979315429856302,-0.65613946924588,-0.0229139279478877,-0.0556318467823613,-0.0677722585704436,-0.00362825260336852,-9.29698625616863
"PI656027",-0.0125099520119025,-0.00589405427146698,0.193657413315391,-0.0135129818745332,5.49504117590012,0.0346152903298703,0.0532598254965014,0.191132155439272,-0.00203922021163052,10.0316492331044,0.102398997140931,0.0904293787685452,0.637400239441464,-0.0038925997370351,33.9049260906814
"PI656028",0.0989310414919359,0.0614115071786043,0.301046475252729,0.000100282603481522,17.0209964996917,0.0365843821671334,0.0370399865475586,0.452186392618418,0.00193526545011716,21.7703386993223,0.0993091943056671,0.0276330521558217,0.249581525641819,-0.0124064005247797,11.4271316897448
"PI656029",-0.0285154867553785,-0.0169084492010392,-0.0959528882528355,0.0125919704918487,-2.805145734379,-0.0376196239709419,-0.0120749408859916,0.022030074173968,0.0251678723221082,4.20594262344137,-0.0869046556138958,-0.0836906001235471,-0.502192428884124,-0.0019361430925844,-28.8745382996361
