"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI576380","2013","1",1,0,0,0,0,0,19.4,2.26,4123,67,13.69
"PI576381","2013","1",1,0,0,0,0,0,14,2,4096,65.7,13.13
"PI576385","2013","1",1,0,0,0,0,0,15.7,2.28,4101,67,13.76
"PI576386","2013","1",1,0,0,0,0,0,17.4,2.9,4109,68.9,10.75
"PI576387","2013","1",1,0,0,0,0,0,21.1,3.09,4160,67,13.15
"PI576390","2013","1",1,0,0,0,0,0,15.6,2.54,4111,66.9,11.4
"PI576391","2013","1",1,0,0,0,0,0,19.9,2.01,4105,67.5,13.39
"PI576393","2013","1",1,0,0,0,0,0,17.8,2.93,4157,64.8,12.12
"PI576394","2013","1",1,0,0,0,0,0,15.5,3.35,4097,71.5,10.42
"PI576396","2013","1",1,0,0,0,0,0,18.6,2.09,4089,71,9.99
"PI576399","2013","1",1,0,0,0,0,0,15.8,2.89,4132,70.9,10.99
"PI576401","2013","1",1,0,0,0,0,0,15.8,3.02,4134,67.2,12.6
"PI576418","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI576422","2013","1",1,0,0,0,0,0,17.5,2.82,4089,69.7,11.67
"PI576425","2013","1",1,0,0,0,0,0,17.1,1.9,4134,65.9,12.8
"PI576426","2013","1",1,0,0,0,0,0,14.6,1.81,4037,71.6,10.55
"PI576428","2013","1",1,0,0,0,0,0,17.3,2.27,4089,67.3,11.71
"PI576434","2013","1",1,0,0,0,0,0,13.3,2.28,4038,71.3,10.24
"PI576435","2013","1",1,0,0,0,0,0,18.6,2.76,4089,69.9,10.98
"PI576437","2013","1",1,0,0,0,0,0,16.3,3.07,4097,62.7,12.37
"PI585291","2013","1",1,0,0,0,0,0,10.2,3.27,4135,65.6,12.34
"PI585295","2013","1",1,0,0,0,0,0,5.1,2.82,4157,63.1,15.02
"PI595699","2013","1",1,0,0,0,0,0,14.8,1.47,4094,70.7,12.17
"PI595702","2013","1",1,0,0,0,0,0,20.9,2.86,4136,66.9,11.81
"PI595714","2013","1",1,0,0,0,0,0,17,1.99,4047,69.4,10.6
"PI595718","2013","1",1,0,0,0,0,0,16,2.44,4101,67.9,12.83
"PI595720","2013","1",1,0,0,0,0,0,16.9,2.07,4032,70.7,11.19
"PI595739","2013","1",1,0,0,0,0,0,12.3,3.76,4212,66.3,14.27
"PI595740","2013","1",1,0,0,0,0,0,15.2,3.44,4183,67.2,11.79
"PI595741","2013","1",1,0,0,0,0,0,17.6,3.38,4110,69.2,11.13
"PI595743","2013","1",1,0,0,0,0,0,20.2,2.47,4128,68.3,12.14
"PI595744","2013","1",1,0,0,0,0,0,17.9,2.37,4073,70.6,11.87
"PI595745","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI597945","2013","1",1,0,0,0,0,0,11.1,2.01,4030,67.5,11.08
"PI597946","2013","1",1,0,0,0,0,0,14.9,3.46,4172,67.5,12.78
"PI597949","2013","1",1,0,0,0,0,0,17.9,3.11,4160,68.2,13
"PI597950","2013","1",1,0,0,0,0,0,9.1,2.64,4035,71.9,9.53
"PI597951","2013","1",1,0,0,0,0,0,16,1.89,4002,71.5,9.77
"PI597952","2013","1",1,0,0,0,0,0,17.8,2.71,4098,67.8,12.07
